,URL,URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,SERVER,CONTENT_LENGTH,WHOIS_COUNTRY,WHOIS_STATEPRO,WHOIS_REGDATE,WHOIS_UPDATED_DATE,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,Type
0,M0_109,16,7,4,200,263.0,29,98,59,593,7,0,2,700,9,10,1153,832,9,2.0,1
1,B0_2314,16,6,3,61,15087.0,29,98,889,593,17,7,4,1230,17,19,1265,1230,17,0.0,0
2,B0_911,16,6,5,115,324.0,29,98,889,593,0,0,0,0,0,0,0,0,0,0.0,0
3,B0_113,17,6,1,200,162.0,42,4,806,68,31,22,3,3812,39,37,18784,4380,39,8.0,0
4,B0_403,17,6,3,124,124140.0,42,137,93,42,57,2,5,4278,61,62,129889,4586,61,4.0,0
5,B0_2064,18,7,3,200,,34,70,644,442,11,6,9,894,11,13,838,894,11,0.0,0
6,B0_462,18,6,4,17,345.0,42,24,607,10,12,0,3,1189,14,13,8559,1327,14,2.0,0
7,B0_1128,19,6,5,115,324.0,42,35,258,202,0,0,0,0,0,0,0,0,0,0.0,0
8,M2_17,20,5,6,210,,29,98,845,593,0,0,0,0,2,3,213,146,2,2.0,1
9,M3_75,20,5,6,210,,29,98,845,593,0,0,0,0,2,1,62,146,2,2.0,1
10,B0_1013,20,6,6,7,,42,52,152,584,0,0,0,0,0,0,0,0,0,0.0,0
11,B0_1102,20,6,5,115,324.0,42,24,422,315,0,0,0,0,0,0,0,0,0,0.0,0
12,B0_22,20,7,6,124,13716.0,15,98,76,533,16,6,8,1492,20,20,2334,1784,20,4.0,0
13,B0_482,20,6,1,200,3692.0,29,98,159,203,25,19,4,3946,35,29,16408,4746,35,10.0,0
14,B0_869,20,7,1,30,13054.0,29,98,889,593,0,0,0,0,0,0,0,0,0,0.0,0
15,M0_71,21,7,1,75,957.0,41,98,211,486,7,0,1,717,11,10,1960,1011,11,4.0,1
16,M0_97,21,7,4,200,686.0,33,102,486,308,6,0,2,603,8,9,1580,745,8,2.0,1
17,B0_2303,21,6,5,115,324.0,29,98,877,19,7,7,3,618,7,9,562,618,7,0.0,0
18,B0_584,21,6,6,200,15025.0,29,98,889,593,13,1,5,1099,15,17,15476,1243,15,2.0,0
19,M0_69,22,7,5,115,324.0,42,24,184,336,9,0,4,850,11,9,1354,994,11,2.0,1
20,B0_161,22,6,6,234,,42,21,637,547,39,29,6,3833,43,42,22495,4125,43,4.0,0
21,B0_2122,22,6,4,200,318.0,42,139,334,418,8,6,6,696,8,10,636,696,8,0.0,0
22,B0_2176,22,6,4,35,224.0,29,98,97,85,4,3,2,420,4,6,372,420,4,0.0,0
23,B0_569,22,7,6,96,4421.0,2,152,375,124,12,0,2,2259,16,12,5165,2559,16,4.0,0
24,B0_601,22,6,3,217,,42,35,20,285,6,0,3,650,10,10,1417,950,10,4.0,0
25,B0_884,22,6,1,7,441.0,42,107,108,223,0,0,0,0,0,0,0,0,0,0.0,0
26,B0_905,22,6,1,217,,42,140,267,209,0,0,0,0,0,0,0,0,0,0.0,0
27,B0_916,22,6,6,200,6671.0,7,7,700,434,0,0,0,0,0,0,0,0,0,0.0,0
