URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,SERVER,CONTENT_LENGTH,WHOIS_COUNTRY,WHOIS_STATEPRO,WHOIS_REGDATE,WHOIS_UPDATED_DATE,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,Type
70,14,ISO-8859-1,Apache/2.2.15 (CentOS) DAV/2 mod_ssl/2.2.15 OpenSSL/1.0.1e-fips PHP/5.3.3,8742,US,IL,12/12/1990 0:00,8/6/2015 0:00,0,0,0,0,0,0,0,0,0,0,0
38,7,us-ascii,Microsoft-HTTPAPI/2.0,324,US,NJ,10/1/1992 0:00,5/1/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
64,11,UTF-8,nginx/1.8.1,9418,UK,None,3/6/1993 0:00,2/11/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
69,11,UTF-8,nginx/1.8.1,12564,UK,None,3/6/1993 0:00,2/11/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
58,12,utf-8,nginx/1.8.0,90837,US,va,7/9/1993 0:00,5/8/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
102,18,utf-8,None,24702,US,FL,1/2/1994 0:00,28/04/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
109,18,utf-8,nginx/1.7.12,33481,US,FL,1/2/1994 0:00,28/04/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
92,16,utf-8,None,38483,US,FL,1/2/1994 0:00,28/04/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
58,11,ISO-8859-1,Server,1179,US,NV,1/11/1994 0:00,30/04/2014 0:00,0,0,0,0,0,0,0,0,0,0,0
57,10,UTF-8,Server,None,US,NV,1/11/1994 0:00,30/04/2014 0:00,0,0,0,0,0,0,0,0,0,0,0
58,11,UTF-8,Server,None,US,NV,1/11/1994 0:00,30/04/2014 0:00,0,0,0,0,0,0,0,0,0,0,0
59,11,UTF-8,Server,None,US,NV,1/11/1994 0:00,30/04/2014 0:00,0,0,0,0,0,0,0,0,0,0,0
64,13,UTF-8,Server,None,US,NV,1/11/1994 0:00,30/04/2014 0:00,0,0,0,0,0,0,0,0,0,0,0
65,12,UTF-8,Server,None,US,NV,1/11/1994 0:00,30/04/2014 0:00,0,0,0,0,0,0,0,0,0,0,0
66,12,UTF-8,Server,None,US,NV,1/11/1994 0:00,30/04/2014 0:00,0,0,0,0,0,0,0,0,0,0,0
68,12,UTF-8,Server,None,US,NV,1/11/1994 0:00,30/04/2014 0:00,0,0,0,0,0,0,0,0,0,0,0
69,12,UTF-8,Server,None,US,NV,1/11/1994 0:00,30/04/2014 0:00,0,0,0,0,0,0,0,0,0,0,0
71,13,UTF-8,Server,None,US,NV,1/11/1994 0:00,30/04/2014 0:00,0,0,0,0,0,0,0,0,0,0,0
78,12,UTF-8,Server,None,US,NV,1/11/1994 0:00,30/04/2014 0:00,0,0,0,0,0,0,0,0,0,0,0
80,16,UTF-8,Server,None,US,NV,1/11/1994 0:00,30/04/2014 0:00,0,0,0,0,0,0,0,0,0,0,0
83,17,UTF-8,Server,None,US,NV,1/11/1994 0:00,30/04/2014 0:00,0,0,0,0,0,0,0,0,0,0,0
33,7,utf-8,cloudflare-nginx,None,US,NY,1/11/1994 0:00,27/10/2015 0:00,0,0,0,0,0,0,0,0,0,0,0
52,10,ISO-8859-1,squid/3.3.8,3529,US,CA,2/6/1994 0:00,6/1/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
53,9,UTF-8,nginx,20309,US,CA,6/12/1994 0:00,3/11/2015 0:00,0,0,0,0,0,0,0,0,0,0,0
90,16,UTF-8,ebay server,None,US,CA,4/8/1995 0:00,26/01/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
