URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,SERVER,CONTENT_LENGTH,WHOIS_COUNTRY,WHOIS_STATEPRO,WHOIS_REGDATE,WHOIS_UPDATED_DATE,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,Type
16,7,4,200,263,29,98,59,593,7,0,2,700,9,10,1153,832,9,2,1
16,6,3,61,15087,29,98,889,593,17,7,4,1230,17,19,1265,1230,17,0,0
16,6,5,115,324,29,98,889,593,0,0,0,0,0,0,0,0,0,0,0
17,6,1,200,162,42,4,806,68,31,22,3,3812,39,37,18784,4380,39,8,0
17,6,3,124,124140,42,137,93,42,57,2,5,4278,61,62,129889,4586,61,4,0
18,7,3,200,,34,70,644,442,11,6,9,894,11,13,838,894,11,0,0
18,6,4,17,345,42,24,607,10,12,0,3,1189,14,13,8559,1327,14,2,0
19,6,5,115,324,42,35,258,202,0,0,0,0,0,0,0,0,0,0,0
20,5,6,210,,29,98,845,593,0,0,0,0,2,3,213,146,2,2,1
20,5,6,210,,29,98,845,593,0,0,0,0,2,1,62,146,2,2,1
20,6,6,7,,42,52,152,584,0,0,0,0,0,0,0,0,0,0,0
20,6,5,115,324,42,24,422,315,0,0,0,0,0,0,0,0,0,0,0
20,7,6,124,13716,15,98,76,533,16,6,8,1492,20,20,2334,1784,20,4,0
20,6,1,200,3692,29,98,159,203,25,19,4,3946,35,29,16408,4746,35,10,0
20,7,1,30,13054,29,98,889,593,0,0,0,0,0,0,0,0,0,0,0
21,7,1,75,957,41,98,211,486,7,0,1,717,11,10,1960,1011,11,4,1
21,7,4,200,686,33,102,486,308,6,0,2,603,8,9,1580,745,8,2,1
21,6,5,115,324,29,98,877,19,7,7,3,618,7,9,562,618,7,0,0
21,6,6,200,15025,29,98,889,593,13,1,5,1099,15,17,15476,1243,15,2,0
22,7,5,115,324,42,24,184,336,9,0,4,850,11,9,1354,994,11,2,1
22,6,6,234,,42,21,637,547,39,29,6,3833,43,42,22495,4125,43,4,0
22,6,4,200,318,42,139,334,418,8,6,6,696,8,10,636,696,8,0,0
22,6,4,35,224,29,98,97,85,4,3,2,420,4,6,372,420,4,0,0
22,7,6,96,4421,2,152,375,124,12,0,2,2259,16,12,5165,2559,16,4,0
22,6,3,217,,42,35,20,285,6,0,3,650,10,10,1417,950,10,4,0
22,6,1,7,441,42,107,108,223,0,0,0,0,0,0,0,0,0,0,0
22,6,1,217,,42,140,267,209,0,0,0,0,0,0,0,0,0,0,0
22,6,6,200,6671,7,7,700,434,0,0,0,0,0,0,0,0,0,0,0
23,6,6,7,,42,35,568,99,16,3,11,1696,18,20,13422,1844,18,2,0
23,6,4,67,434,30,115,848,115,0,0,0,0,0,0,0,0,0,0,0
23,6,5,115,324,47,98,205,180,0,0,0,0,0,0,0,0,0,0,0
23,6,6,200,13001,29,98,889,593,0,0,0,0,0,0,0,0,0,0,0
23,7,1,125,3257,29,98,129,376,0,0,0,0,0,0,0,0,0,0,0
23,6,1,124,6748,42,13,695,578,7,4,5,630,7,4,244,630,7,0,0
23,7,3,200,,29,98,889,593,24,5,8,1740,24,11,696,1740,24,0,0
23,6,2,124,,42,137,663,487,19,7,6,2404,23,20,6179,2684,23,4,0
23,6,3,124,,15,98,870,385,19,14,6,1980,23,25,5737,2276,23,4,0
23,6,3,124,,42,158,431,342,4,0,1,519,8,8,1138,823,8,4,0
23,6,3,148,,42,110,703,566,10,0,5,1186,14,15,1900,1476,14,4,0
23,6,1,217,,19,12,111,98,43,4,4,5738,47,50,56926,6046,47,4,0
23,6,4,7,240,42,21,239,180,8,0,2,723,10,11,1837,871,10,2,0
23,6,1,7,3985,7,3,660,470,40,17,16,3285,46,45,12003,3729,46,6,0
23,6,5,115,324,29,98,358,458,0,0,0,0,0,0,0,0,0,0,0
24,8,1,224,6173,29,98,889,593,2,0,1,132,2,5,318,132,2,0,1
24,9,4,7,319,19,138,889,593,7,0,2,720,9,10,1269,868,9,2,1
24,6,6,233,,25,98,784,116,84,54,5,10490,96,106,106925,11482,96,12,0
24,6,1,124,34,42,148,734,379,65,3,5,6286,69,75,90508,6596,69,4,0
24,7,6,200,,42,90,427,434,14,6,6,1907,18,18,5601,2171,18,4,0
24,6,6,108,1778,29,98,30,51,7,7,3,618,7,9,562,618,7,0,0
24,6,6,128,,29,98,543,416,6,3,2,528,6,4,244,528,6,0,0
24,6,5,115,324,7,177,794,559,6,4,4,564,6,8,508,564,6,0,0
24,8,4,35,224,42,58,507,522,19,2,4,2131,23,23,9471,2441,23,4,0
24,6,6,229,,7,105,640,235,12,2,7,984,16,16,1839,1292,16,4,0
24,7,4,7,318,29,98,889,593,21,1,8,1606,25,13,1276,1914,25,4,0
24,7,6,211,,29,98,367,200,16,6,8,2279,22,22,2562,2729,22,6,0
24,6,4,17,345,42,94,716,509,19,5,9,1390,21,25,3890,1540,21,2,0
24,6,3,7,756,30,115,320,523,23,3,15,2485,27,28,9332,2799,27,4,0
25,6,6,46,,7,20,38,477,0,0,0,0,0,0,0,0,0,0,0
25,7,6,200,,42,90,427,434,0,0,0,0,0,0,0,0,0,0,0
25,6,3,200,14839,42,90,190,90,0,0,0,0,0,0,0,0,0,0,0
25,6,5,118,324,42,75,482,351,5,2,4,474,5,4,250,474,5,0,0
25,6,3,112,,29,98,532,133,6,5,2,564,6,7,442,564,6,0,0
25,6,3,7,,42,27,151,586,12,0,5,1327,16,17,14050,1615,16,4,0
25,6,3,200,658,29,98,889,593,11,3,4,1232,15,16,9806,1530,15,4,0
25,6,3,124,,37,166,658,60,18,7,9,1586,22,17,1735,1898,22,4,0
25,6,1,7,,42,21,400,284,36,17,9,4737,42,35,10343,5173,42,6,0
25,6,3,7,195,15,157,213,299,0,0,0,0,0,0,0,0,0,0,0
25,6,5,115,324,42,24,562,3,0,0,0,0,0,0,0,0,0,0,0
25,6,1,7,,42,27,674,384,0,0,0,0,0,0,0,0,0,0,0
26,8,3,200,,29,98,91,593,12,0,2,1052,14,14,11935,1204,14,2,1
26,8,6,200,,29,98,859,593,9,1,2,878,11,12,2242,1018,11,2,1
26,7,1,217,4166,42,133,662,451,24,0,3,2508,30,30,21098,2992,30,6,1
26,7,1,75,962,15,156,493,183,9,0,4,842,11,12,2101,994,11,2,1
26,7,1,75,962,15,156,864,22,7,0,2,722,11,10,2000,1016,11,4,1
26,7,1,75,962,15,156,864,22,7,0,2,722,11,9,1913,1036,11,4,1
26,6,6,200,2688,42,54,64,450,0,0,0,0,0,0,0,0,0,0,0
26,7,3,148,,42,62,69,434,0,0,0,0,0,0,0,0,0,0,0
26,6,3,200,,7,105,110,304,0,0,0,0,0,0,0,0,0,0,0
26,6,4,7,199,30,115,305,281,0,0,0,0,0,0,0,0,0,0,0
26,6,3,82,3548,29,98,778,534,13,0,1,1378,19,19,6226,1856,19,6,0
26,7,6,200,,42,90,427,434,26,19,5,2727,30,19,5765,2991,30,4,0
26,6,2,237,0,42,21,363,567,43,39,3,6325,53,50,32025,7063,53,10,0
26,6,1,217,5426,42,83,542,371,9,7,4,702,9,10,696,702,9,0,0
26,7,6,20,,29,98,75,72,11,9,7,882,11,9,562,882,11,0,0
26,6,3,124,,7,20,718,22,4,3,2,396,4,6,482,396,4,0,0
26,6,4,17,345,42,35,686,224,43,0,2,3252,47,47,60076,3564,47,4,0
26,7,6,200,,42,90,427,434,46,12,11,3783,50,18,5605,4047,50,4,0
26,7,6,200,,42,90,427,434,21,8,9,2373,25,27,6199,2637,25,4,0
26,6,6,148,,42,160,447,87,7,0,2,984,11,12,1650,1300,11,4,0
26,6,1,217,,42,29,439,306,0,0,0,0,0,0,0,0,0,0,0
26,6,5,124,324,42,137,858,75,0,0,0,0,0,0,0,0,0,0,0
26,6,3,148,,42,114,114,78,0,0,0,0,0,0,0,0,0,0,0
26,6,3,200,,42,56,871,273,0,0,0,0,0,0,0,0,0,0,0
26,6,6,217,,42,13,604,558,0,0,0,0,0,0,0,0,0,0,0
27,7,3,36,8756,15,156,205,141,38,0,3,4207,44,45,39662,4679,44,6,1
27,7,3,7,193,42,114,279,434,9,0,1,1838,11,13,4524,1992,11,2,1
27,8,3,200,,42,155,83,78,0,0,0,0,0,0,0,0,0,0,0
27,6,5,115,324,42,24,399,305,0,0,0,0,0,0,0,0,0,0,0
27,6,6,234,,42,133,648,480,3,3,1,366,3,5,306,366,3,0,0
27,6,3,28,,2,126,293,254,40,13,14,3781,46,44,34101,4253,46,6,0
27,6,3,76,7967,29,98,572,324,6,0,4,631,8,11,812,787,8,2,0
27,7,1,7,11506,42,35,707,537,0,0,0,0,0,0,0,0,0,0,0
28,9,3,28,,33,68,475,296,5,0,1,592,7,9,1062,732,7,2,1
28,7,5,115,324,42,35,383,112,5,0,2,556,9,9,1154,860,9,4,1
28,8,6,200,39036,45,142,362,260,0,0,0,0,0,0,0,0,0,0,0
28,6,1,124,,42,21,599,428,0,0,0,0,0,0,0,0,0,0,0
28,7,4,7,,14,98,50,580,0,0,0,0,0,0,0,0,0,0,0
28,7,1,148,,27,113,675,524,0,0,0,0,0,0,0,0,0,0,0
28,7,5,124,,42,84,669,185,6,4,3,552,6,8,612,552,6,0,0
28,7,1,148,,27,113,675,524,8,4,6,696,8,10,634,696,8,0,0
28,6,5,118,324,42,119,78,375,5,3,3,474,5,6,364,474,5,0,0
28,7,6,7,8578,7,105,326,459,21,7,5,2830,29,25,6137,3400,29,8,0
28,6,3,7,10576,19,145,576,223,14,9,2,2094,14,12,8019,2094,14,0,0
28,7,5,118,324,29,98,215,352,17,1,7,1848,23,24,2167,2322,23,6,0
28,7,3,78,12846,42,81,868,50,17,12,3,2314,23,27,21419,2740,23,6,0
28,7,3,106,6666,42,21,689,419,66,5,11,6311,70,64,63634,6633,70,4,0
28,6,4,74,445,42,35,140,224,28,5,8,2324,30,33,24662,2482,30,2,0
28,8,3,7,,42,13,459,174,6,0,3,632,8,8,593,776,8,2,0
28,7,5,115,324,29,98,889,593,33,26,4,3590,39,48,30057,4064,39,6,0
28,6,6,128,,42,90,770,550,0,0,0,0,0,0,0,0,0,0,0
28,6,6,124,,42,21,391,136,26,19,3,2632,30,36,27404,2916,30,4,0
28,6,3,200,18438,42,27,177,62,0,0,0,0,0,0,0,0,0,0,0
29,7,1,7,7314,42,62,382,582,34,0,2,2934,40,40,34995,3416,40,6,1
29,7,5,115,324,40,172,864,177,5,0,2,593,7,8,1128,751,7,2,1
29,6,1,7,,42,21,400,284,0,0,0,0,0,0,0,0,0,0,0
29,6,2,237,0,42,21,363,567,0,0,0,0,0,0,0,0,0,0,0
29,8,1,7,9136,42,21,341,297,0,0,0,0,0,0,0,0,0,0,0
29,6,3,7,5019,42,45,570,321,0,0,0,0,0,0,0,0,0,0,0
29,7,6,200,,42,90,427,434,0,0,0,0,0,0,0,0,0,0,0
29,6,4,77,210,42,79,586,396,0,0,0,0,0,0,0,0,0,0,0
29,6,3,36,8654,21,111,706,478,0,0,0,0,0,0,0,0,0,0,0
29,7,4,38,238,7,122,786,576,0,0,0,0,0,0,0,0,0,0,0
29,6,1,7,26856,29,98,710,502,26,6,5,2519,30,30,22379,2851,30,4,0
29,6,5,115,324,42,77,526,361,12,8,6,900,12,9,568,900,12,0,0
29,7,3,35,,7,3,406,309,709,708,3,2362906,709,837,83056,2362906,709,0,0
29,6,3,7,10210,42,21,676,541,5,4,2,486,5,7,542,486,5,0,0
29,6,1,7,13684,42,74,737,103,15,8,7,1134,15,9,605,1134,15,0,0
29,6,5,124,324,7,109,829,579,3,3,1,366,3,5,306,366,3,0,0
29,6,4,217,770,42,132,335,255,5,3,3,486,5,7,436,486,5,0,0
29,8,3,76,6813,42,140,435,84,17,9,10,1249,17,15,1062,1249,17,0,0
29,6,5,115,324,29,98,320,509,34,9,6,2861,38,26,15260,3229,38,4,0
29,6,1,124,34,42,27,337,239,10,2,9,612,12,14,918,772,12,2,0
29,7,1,7,,42,21,400,284,32,21,8,4561,38,36,10429,4997,38,6,0
29,8,3,106,20404,42,21,689,419,33,6,5,3533,37,35,46688,3859,37,4,0
29,8,3,140,,9,163,170,247,28,0,5,3183,36,33,24455,3777,36,8,0
29,6,3,71,7159,42,13,661,27,21,6,11,1515,23,18,1334,1675,23,2,0
29,6,6,28,,42,94,32,349,24,1,3,2195,29,30,55576,2515,29,4,0
29,6,4,7,388,42,97,233,108,0,0,0,0,0,0,0,0,0,0,0
29,6,1,17,199,29,98,4,539,0,0,0,0,0,0,0,0,0,0,0
29,8,5,115,324,2,123,19,479,0,0,0,0,0,0,0,0,0,0,0
29,6,1,217,,7,105,390,282,0,0,0,0,0,0,0,0,0,0,0
29,6,6,124,,42,21,391,136,0,0,0,0,0,0,0,0,0,0,0
30,8,4,7,177,29,98,889,593,7,0,2,666,9,9,1094,826,9,2,1
30,6,6,62,,35,98,762,404,0,0,0,0,0,0,0,0,0,0,0
30,6,4,91,199,42,58,820,120,0,0,0,0,0,0,0,0,0,0,0
30,7,6,200,,42,90,427,434,14,9,3,1918,18,17,5546,2182,18,4,0
30,6,1,124,,42,21,599,428,62,52,12,8974,76,69,30726,10006,76,14,0
30,6,1,7,,42,21,400,284,22,17,2,3914,28,27,9833,4350,28,6,0
30,6,1,139,,29,98,172,199,18,17,5,1188,18,19,1451,1188,18,0,0
30,6,2,72,,42,158,472,214,6,4,4,552,6,9,564,552,6,0,0
30,6,3,7,14703,42,140,718,491,2,2,1,276,2,4,250,276,2,0,0
30,6,3,200,8751,42,35,659,493,15,2,6,1528,19,17,5586,1860,19,4,0
30,6,5,115,324,42,85,679,555,90,6,14,8646,92,100,95659,8808,92,2,0
30,7,1,7,,42,21,400,284,31,26,2,4412,37,37,27412,4848,37,6,0
30,6,6,124,,42,21,391,136,31,23,3,3605,39,41,34388,4183,39,8,0
30,6,1,124,,42,21,599,428,76,47,12,9007,88,44,23985,9891,88,12,0
30,7,6,6,350,42,13,121,353,23,1,10,1902,27,26,2764,2194,27,4,0
30,7,1,14,,42,39,605,265,48,3,6,3418,52,48,57377,3706,52,4,0
30,8,3,148,,42,21,479,137,0,0,0,0,0,0,0,0,0,0,0
30,6,6,124,,42,21,391,136,0,0,0,0,0,0,0,0,0,0,0
30,7,1,7,,42,21,400,284,0,0,0,0,0,0,0,0,0,0,0
31,7,5,118,324,42,21,864,242,7,0,2,707,11,11,1018,1031,11,4,1
31,8,6,2,604,42,21,255,360,0,0,0,0,0,0,0,0,0,0,0
31,7,4,44,287,29,98,499,364,0,0,0,0,0,0,0,0,0,0,0
31,7,1,7,,42,21,400,284,0,0,0,0,0,0,0,0,0,0,0
31,8,6,7,65815,42,67,349,334,0,0,0,0,0,0,0,0,0,0,0
31,6,1,124,,42,21,599,428,65,53,14,8568,77,70,26049,9452,77,12,0
31,6,3,47,,29,98,144,286,9,3,7,738,9,12,766,738,9,0,0
31,7,6,100,4075,7,105,28,462,4,3,2,432,4,6,372,432,4,0,0
31,8,4,28,287,19,43,80,438,5,0,1,593,9,9,955,929,9,4,0
31,7,6,200,,42,90,427,434,28,13,13,2773,32,32,6566,3037,32,4,0
31,7,3,30,5132,42,35,720,332,27,0,3,2743,33,33,43878,3181,33,6,0
31,6,5,118,324,42,79,881,31,23,1,4,2262,29,28,16553,2736,29,6,0
31,6,5,115,324,29,98,889,593,18,14,3,2201,22,23,7756,2543,22,4,0
31,6,1,7,,29,98,400,284,23,17,3,3981,29,27,9867,4417,29,6,0
31,8,5,115,324,42,35,802,105,103,0,3,7073,105,113,179439,7217,105,2,0
31,6,3,7,,42,62,681,518,13,8,8,1355,16,16,1145,1519,16,2,0
31,7,1,124,,42,21,599,428,57,45,12,8136,69,64,25686,9020,69,12,0
31,7,6,7,22004,42,21,711,434,0,0,0,0,0,0,0,0,0,0,0
31,6,1,7,,42,21,400,284,0,0,0,0,0,0,0,0,0,0,0
31,7,4,17,345,42,140,485,327,0,0,0,0,0,0,0,0,0,0,0
32,11,3,200,643,29,98,889,593,22,1,5,2783,30,26,3824,3367,30,8,1
32,9,3,200,637,29,98,889,593,14,1,4,1457,20,16,3229,1881,20,6,1
32,8,3,136,,42,155,730,507,0,0,0,0,0,0,0,0,0,0,0
32,6,1,124,34,42,79,873,107,0,0,0,0,0,0,0,0,0,0,0
32,8,3,136,,42,155,730,507,0,0,0,0,0,0,0,0,0,0,0
32,9,6,111,420762,29,98,45,593,17,5,8,1314,19,26,1881,1452,19,2,0
32,8,1,7,1399,42,21,609,547,0,0,0,0,0,0,0,0,0,0,0
32,6,3,7,,7,165,558,403,0,0,0,0,0,0,0,0,0,0,0
32,7,3,200,,42,90,694,17,0,0,0,0,0,0,0,0,0,0,0
32,7,3,200,,42,21,627,57,14,10,2,2000,20,20,9588,2498,20,6,0
32,7,1,124,,42,21,599,428,49,42,5,7613,61,52,24774,8497,61,12,0
32,8,3,7,,29,98,314,301,24,0,4,2176,28,29,17335,2456,28,4,0
32,6,6,124,,29,98,391,136,4,3,2,432,4,5,310,432,4,0,0
32,8,6,118,328,41,41,775,59,5,3,2,474,5,7,426,474,5,0,0
32,7,3,7,,42,48,67,29,94,0,4,11902,102,121,173484,12492,102,8,0
32,8,5,115,324,29,98,769,329,11,10,6,798,11,15,1124,798,11,0,0
32,6,4,90,199,42,52,448,434,6,3,4,564,6,7,442,564,6,0,0
32,8,4,7,334,36,1,284,298,8,1,4,816,10,13,1541,958,10,2,0
32,7,4,50,287,42,67,667,299,71,0,3,10999,73,70,88707,11147,73,2,0
32,7,6,7,20212,42,21,711,434,43,26,14,4214,49,28,9246,4650,49,6,0
32,8,3,136,,42,155,730,507,36,0,2,3185,40,40,50608,3465,40,4,0
32,8,3,136,,42,155,730,507,24,2,4,1888,28,25,40314,2168,28,4,0
32,7,6,124,,29,98,164,92,7,0,3,734,11,12,7145,1060,11,4,0
32,7,3,106,11827,42,21,689,419,38,2,5,4607,42,35,58676,4945,42,4,0
32,8,1,217,1108,42,27,396,288,13,0,2,2065,17,16,7280,2349,17,4,0
32,7,5,124,324,42,13,521,413,0,0,0,0,0,0,0,0,0,0,0
33,11,3,200,646,29,98,889,593,13,1,5,1497,17,14,2116,1787,17,4,1
33,9,3,200,637,29,98,889,593,23,1,5,2851,31,26,3814,3431,31,8,1
33,9,3,200,640,29,98,889,593,18,1,5,2147,24,20,2848,2577,24,6,1
33,9,3,200,643,29,98,889,593,4,0,4,264,4,6,388,264,4,0,1
33,9,3,200,,29,98,853,593,14,1,8,1151,18,15,1211,1445,18,4,1
33,11,6,200,,29,98,832,186,8,0,2,1045,12,11,1362,1333,12,4,1
33,7,6,148,,42,90,26,383,0,0,0,0,0,0,0,0,0,0,0
33,8,3,136,,42,155,730,507,0,0,0,0,0,0,0,0,0,0,0
33,8,3,136,,42,155,730,507,0,0,0,0,0,0,0,0,0,0,0
33,6,6,124,,42,21,391,136,0,0,0,0,0,0,0,0,0,0,0
33,6,4,7,,21,38,839,359,0,0,0,0,0,0,0,0,0,0,0
33,6,6,60,19890,7,16,347,340,0,0,0,0,0,0,0,0,0,0,0
33,8,6,211,,42,27,367,200,0,0,0,0,0,0,0,0,0,0,0
33,9,6,124,18302,42,21,605,354,0,0,0,0,0,0,0,0,0,0,0
33,7,4,7,318,21,111,103,151,0,0,0,0,0,0,0,0,0,0,0
33,8,3,136,,42,155,730,507,52,7,8,3438,56,51,46498,3718,56,4,0
33,7,4,9,,29,98,818,474,4,3,2,420,4,5,304,420,4,0,0
33,6,6,7,,42,140,494,182,7,5,4,606,7,6,474,606,7,0,0
33,8,3,164,,42,21,107,71,32,11,6,3694,40,32,11543,4286,40,8,0
33,7,3,106,60722,42,21,689,419,4,2,3,408,4,6,382,408,4,0,0
